2020-9-26-16-15-2 : foodHitCount = 1 out of 129 ;  foodHitCellPos = (17 , 11) ; idxToErase = 106 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-4 : foodHitCount = 2 out of 129 ;  foodHitCellPos = (17 , 10) ; idxToErase = 93 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-4 : foodHitCount = 3 out of 129 ;  foodHitCellPos = (17 , 9) ; idxToErase = 89 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-6 : foodHitCount = 4 out of 129 ;  foodHitCellPos = (17 , 8) ; idxToErase = 75 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-7 : foodHitCount = 5 out of 129 ;  foodHitCellPos = (17 , 7) ; idxToErase = 69 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-8 : foodHitCount = 6 out of 129 ;  foodHitCellPos = (16 , 7) ; idxToErase = 68 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-10 : foodHitCount = 7 out of 129 ;  foodHitCellPos = (15 , 7) ; idxToErase = 67 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-11 : foodHitCount = 8 out of 129 ;  foodHitCellPos = (15 , 6) ; idxToErase = 55 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-12 : foodHitCount = 9 out of 129 ;  foodHitCellPos = (15 , 5) ; idxToErase = 50 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-13 : foodHitCount = 10 out of 129 ;  foodHitCellPos = (16 , 5) ; idxToErase = 50 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-14 : foodHitCount = 11 out of 129 ;  foodHitCellPos = (17 , 5) ; idxToErase = 50 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-15 : foodHitCount = 12 out of 129 ;  foodHitCellPos = (17 , 4) ; idxToErase = 38 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-17 : foodHitCount = 13 out of 129 ;  foodHitCellPos = (17 , 3) ; idxToErase = 32 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-18 : foodHitCount = 14 out of 129 ;  foodHitCellPos = (17 , 2) ; idxToErase = 18 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-20 : foodHitCount = 15 out of 129 ;  foodHitCellPos = (17 , 1) ; idxToErase = 14 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-21 : foodHitCount = 16 out of 129 ;  foodHitCellPos = (16 , 1) ; idxToErase = 13 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-22 : foodHitCount = 17 out of 129 ;  foodHitCellPos = (15 , 1) ; idxToErase = 12 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-24 : foodHitCount = 18 out of 129 ;  foodHitCellPos = (14 , 1) ; idxToErase = 11 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-25 : foodHitCount = 19 out of 129 ;  foodHitCellPos = (13 , 1) ; idxToErase = 10 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-26 : foodHitCount = 20 out of 129 ;  foodHitCellPos = (13 , 2) ; idxToErase = 12 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-28 : foodHitCount = 21 out of 129 ;  foodHitCellPos = (13 , 3) ; idxToErase = 22 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-29 : foodHitCount = 22 out of 129 ;  foodHitCellPos = (14 , 3) ; idxToErase = 22 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-30 : foodHitCount = 23 out of 129 ;  foodHitCellPos = (15 , 3) ; idxToErase = 22 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-26-16-15-31 : foodHitCount = 24 out of 129 ;  foodHitCellPos = (15 , 4) ; idxToErase = 26 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
